id,UniProt
16pk_A,P07378
1a62_A,P0AG30
1ail_A,P03495
1aol_A,P03390
1b25_D,Q8U1K3
1b2s_F,P11540
1b2s_E,P11540
6a9a_A,P08773
1b8d_K,O36005
2ie6_A,P14668
1af7_A,P07801
1bgf_A,P42228
3glx_A,P0DJL7
2dtr_A,P0DJL7
1m8s_A,O42191
1bkp_A,P0CI79
1bq8_A,P24297
1hoe_A,P01092
1ok0_A,P01092
1bx7_A,P80302
1bxy_A,P74909
1bxy_B,P74909
1by2_A,Q08380
1whi_A,P04450
1c1k_A,P13342
1lj5_A,P05121
1chd_A,P04042
1h16_A,P09373
1h17_A,P09373
1coj_A,Q9X6W9
1ctf_A,P0A7K2
1cuo_A,P12335
1zpe_A,P07824
1d3y_B,Q57815
1d3y_A,Q57815
1d4t_A,O60880
1dci_C,Q62651
1dd3_A,P29396
1dd3_B,P29396
1dfu_P,P68919
2pu9_A,Q55389
2puo_A,Q55389
1dlj_A,P0C0F4
1doi_A,P00217
1dow_A,P26231
1dvo_A,P29367
1koe_A,P39061
1hw1_B,P0A8V6
1e6y_D,P07962
1eb0_A,P50049
1ear_A,P50049
2jhf_B,P00327
1ef1_D,P26038
1ef1_C,P26038
1egw_B,Q02078
1egw_C,Q02078
1enj_A,P04418
2end_A,P04418
1o98_A,Q9X519
1ewf_A,P17213
1ez3_B,P32851
1n8o_E,P23827
1ifg_A,P23827
1f20_A,P29476
1f3u_E,P13984
1f3u_G,P13984
1g9g_A,P37698
1f9p_A,P02775
1fd3_A,O15263
1r6w_A,P29208
1fk5_A,P19656
2pbk_A,O36607
2pbk_B,O36607
1c52_A,P04164
1fqi_A,O46469
1fs1_C,Q13309
1fs1_A,Q13309
1fm4_A,P43185
1fx4_A,Q99280
1xvg_E,P11987
1kew_A,P26391
1g2r_A,A0A0H2UNW2
1g6g_A,P22216
2ad6_A,P38539
1g7s_A,O26359
1g7t_A,O26359
1gpj_A,Q9UXR8
1gqe_A,P07012
2v9m_A,P32169
1rpo_A,P03051
1gwe_A,P29422
1wui_L,P21852
1h2e_A,Q9ALU0
1w6s_D,P14775
1gte_D,Q28943
6l8s_A,-
6l8s_C,-
1hp1_A,P07024
1huf_A,O68720
1hye_A,Q60176
1hq0_A,Q47106
4lq4_A,P54050
1i0v_A,P00651
1ig0_B,P35202
1ig3_A,Q9R0M5
1ijt_A,P08620
1ijx_C,P97401
1ikp_A,P11439
1im5_A,O58727
1io1_A,P06179
1iom_A,Q5SIM6
1iqq_A,O80323
2v6a_O,P00873
1iuq_A,P10349
1k30_A,P10349
1d2t_A,Q9S1A6
1j2l_A,P21859
2x96_A,Q10714
1j5u_A,Q9X0H1
1j8e_A,Q07954
1jhs_A,P47123
1jif_A,Q53793
1pby_C,Q8VUS8
1jke_C,P0A6M4
1fn9_A,P03527
1fn9_B,P03527
1jmx_G,P0A182
1jo0_A,P71376
1jq5_A,P32816
3n4i_B,P35804
1juv_A,P04382
1jwq_A,Q9LCR3
1jyo_B,P0CL16
1jyo_F,P74873
1jyo_E,P74873
1k7j_A,P0AFR4
1kp3_A,P0A6E4
1ka1_A,P32179
1kpt_A,Q90121
1krn_A,P00747
1knt_A,P12111
1m9z_A,P37173
1n8u_A,Q9NG96
1n8v_B,Q9NG96
1l2p_A,P0ABA0
1l2w_I,P08008
1l2w_J,P08008
1l5o_A,Q05603
1l9l_A,P22749
1lc3_A,P46844
1lfp_A,O67517
1llf_B,Q6S5M9
1lln_A,Q40772
1o0s_A,P27443
1mk0_A,P13299
1tov_A,Q20728
1lr0_A,P50600
1lri_A,P15570
1lsl_A,P07996
1lwb_A,Q6UV28
1m5q_I,Q8ZVU2
1m5q_Z,Q8ZVU2
1uxy_A,P08373
1md6_A,Q9QYY1
2gc4_L,P29899
1mjf_B,Q8U4G1
2qqc_D,Q57764
1mv8_C,P11759
4cjn_A,A0A0J9X1X5
1t9i_B,P05725
1j09_A,P27000
1n7z_A,P19062
1n7z_B,P19062
1nf8_A,P0DPB9
1ng6_A,P54464
1nh2_B,P32773
1nij_A,P24203
1njh_A,O31858
1nnh_A,Q8TZN6
